ItemName,UnitName,TransactionDate,UnitPrice
Socket 10A 2pin,Nos,3/5/2017,45
Plug 15A 3Pin,Nos,3/5/2017,60
"CPVC Elbow 3/4""",Nos,3/8/2017,41
"UPVC Pipe 1.5""",Rft,6/20/2017,19.5
"3/4"" CPVC Pipe",Rft,11/25/2017,57
"CPVC Elbow 3/4""",Nos,11/25/2017,41
"CPVC Elbow Plain 1"" x 3/4""",Nos,11/25/2017,135
"CPVC Tee 1""",Nos,11/25/2017,103
"CPVC Tee 1""",Nos,3/8/2017,103
Cpvc Ball valve 3/4'',Nos,3/8/2017,610
"3/4"" CPVC Pipe",Rft,3/12/2017,57
"CPVC Elbow 3/4""",Nos,3/12/2017,41
Cpvc Ball valve 3/4'',Nos,3/12/2017,610
"CPVC Elbow Plain 1"" x 3/4""",Nos,3/12/2017,101.25
PABX System,Set,8/14/2017,41000
"CPVC Elbow 3/4""",Nos,4/30/2017,41
Cpvc Ball valve 3/4'',Nos,4/30/2017,610
"UPVC Pipe 1.5""",Rft,1/17/2018,30
Cable Lux 10 RM,Nos,8/2/2017,7
"UPVC Test Opener 4""",Nos,2/26/2017,473
"UPVC Pipe 1.5""",Rft,2/26/2017,19.5
CPVC glue,Nos,12/11/2017,3028
"UPVC Pipe 1.5""",Rft,3/29/2017,19.5
Track Light Channel,Nos,3/10/2018,400
Track Light Channel,Nos,3/10/2018,400
Bib Cock,Nos,3/27/2017,4000
PIB Tape,Nos,3/27/2017,314
Socket 10A 2pin,Nos,4/1/2017,330
"UPVC Pipe 1.5""",Rft,4/1/2017,19.5
"UPVC Pipe 1.5""",Rft,4/1/2017,19.5
"3/4"" CPVC Pipe",Rft,4/11/2017,57
"CPVC Elbow 3/4""",Nos,4/11/2017,41
"CPVC 3/4"" Coupling",Nos,4/11/2017,28
"3/4"" CPVC Pipe",Rft,4/11/2017,57
Cpvc Ball valve 3/4'',Nos,4/11/2017,610
Cpvc Ball valve 3/4'',Nos,4/11/2017,610
"CPVC Elbow Plain 1"" x 3/4""",Nos,4/11/2017,101.25
"CPVC Elbow 3/4""",Nos,4/11/2017,41
"3/4"" CPVC Pipe",Rft,4/11/2017,57
"Screw Star 1.25""",Gros,11/25/2017,75
"CPVC Pipe 4""",Rft,11/28/2017,1780
Cable Shield,Meter,4/20/2017,80
Plug 15A 3Pin,Nos,5/10/2017,52
"UPVC Pipe 1.5""",Rft,5/31/2017,19.5
Cable Lux 10 RM,Nos,10/4/2017,7
"GI Non Return Valve 1""",Nos,8/12/2017,950
"3/4"" CPVC Pipe",Rft,8/16/2017,57
"CPVC Elbow 3/4""",Nos,8/16/2017,41
PABX System,Set,8/16/2017,41000
"UPVC Socket 6"" X 4""",Nos,4/29/2017,569
Door Switch,Nos,5/4/2017,60
